store_id,policy_adherence_rate,brand_greeting_pct,engaged_without_wait_pct,personalization_pct,mobile_checkin_pct,loyalty_check_pct,cart_confirmation_pct,price_confirmation_pct
ST001,95.2,91.0,88.0,76.0,50.0,73.0,95.0,93.0
ST002,94.8,90.5,87.5,75.5,49.5,72.5,94.5,92.5
ST003,95.8,91.5,88.5,76.5,50.5,73.5,95.5,93.5
ST004,94.0,90.0,87.0,75.0,49.0,72.0,94.0,92.0
ST005,96.2,92.0,89.0,77.0,51.0,74.0,96.0,94.0
ST006,95.0,91.0,88.0,76.0,50.0,73.0,95.0,93.0
ST007,94.5,90.5,87.5,75.5,49.5,72.5,94.5,92.5
ST008,95.5,91.5,88.5,76.5,50.5,73.5,95.5,93.5
ST009,95.0,91.0,88.0,76.0,50.0,73.0,95.0,93.0
ST010,95.8,91.5,88.5,76.5,50.5,73.5,95.5,93.5

